slug	team	rank	adj_em	adj_o	adj_d	adj_t
akron	Akron	69	11.99	118.9	106.9	70.3
alabama	Alabama	12	27.32	129.6	102.3	73.1
arizona	Arizona	2	37.82	127.9	90.1	69.7
arkansas	Arkansas	17	25.83	127.7	101.9	71.4
byu	BYU	24	22.62	125.0	102.3	70.0
california-baptist	California Baptist	105	6.08	107.7	101.6	66.0
clemson	Clemson	39	18.59	116.7	98.1	64.1
duke	Duke	3	37.80	127.3	89.5	65.6
florida	Florida	5	33.48	126.0	92.5	70.4
furman	Furman	184	-1.43	108.1	109.6	66.1
georgia	Georgia	35	19.28	124.0	104.8	71.7
gonzaga	Gonzaga	15	26.88	121.0	94.1	68.5
hawaii	Hawaii	108	5.63	107.2	101.6	69.9
high-point	High Point	85	9.55	117.5	107.9	70.2
hofstra	Hofstra	89	9.05	114.4	105.3	64.8
houston	Houston	4	34.42	125.3	90.9	63.4
howard	Howard	197	-2.68	104.8	107.5	69.1
idaho	Idaho	155	1.04	108.4	107.4	67.9
illinois	Illinois	6	33.26	131.6	98.3	65.7
iowa	Iowa	22	23.39	123.0	99.6	62.7
iowa-st	Iowa St.	7	32.97	124.2	91.3	67.0
kansas	Kansas	21	24.11	117.6	93.5	67.9
kennesaw-st	Kennesaw St.	149	1.20	110.7	109.5	71.2
kentucky	Kentucky	29	21.08	120.3	99.3	68.4
lehigh	Lehigh	293	-11.14	102.0	113.1	66.8
long-island	LIU	216	-4.01	105.7	109.7	67.9
louisville	Louisville	19	24.62	123.5	98.9	69.8
mcneese	McNeese	65	12.45	114.4	102.0	66.1
miami-fl	Miami FL	30	20.67	121.0	100.3	67.7
miami-oh	Miami OH	90	8.66	117.1	108.5	69.8
michigan	Michigan	1	37.82	127.7	89.9	70.9
michigan-st	Michigan St.	9	28.97	123.4	94.4	66.4
missouri	Missouri	53	14.91	119.2	104.3	66.3
north-carolina-st	N.C. State	36	19.18	123.1	103.9	69.1
nebraska	Nebraska	13	27.15	119.2	92.0	66.6
north-carolina	North Carolina	32	20.16	120.8	100.6	68.0
north-dakota-st	North Dakota St.	118	4.59	111.6	107.0	66.7
ohio-st	Ohio St.	25	22.08	124.0	101.9	66.1
penn	Penn	156	0.97	107.6	106.6	69.2
prairie-view	Prairie View A&M	281	-10.16	101.2	111.4	70.8
purdue	Purdue	8	31.81	131.9	100.1	64.6
queens-nc	Queens	186	-1.76	115.8	117.5	69.7
saint-louis	Saint Louis	34	19.45	120.3	100.8	71.2
st-marys-ca	Saint Mary's	26	21.88	119.2	97.3	64.9
santa-clara	Santa Clara	37	19.06	123.7	104.7	69.2
siena	Siena	180	-1.05	107.8	108.9	64.7
smu	SMU	48	16.86	122.7	105.9	68.5
south-fla	South Florida	47	16.86	117.6	100.7	71.6
st-johns-ny	St. John's	16	26.78	120.3	93.5	69.6
tcu	TCU	46	17.24	114.9	97.6	67.8
tennessee	Tennessee	14	26.88	121.6	94.7	65.1
tennessee-st	Tennessee St.	191	-1.99	109.2	111.2	70.6
texas	Texas	31	20.22	124.4	104.2	66.7
texas-am	Texas A&M	38	18.65	119.3	100.6	70.2
texas-tech	Texas Tech	20	24.51	124.8	100.3	66.0
troy	Troy	150	1.19	110.4	109.2	64.9
ucf	UCF	54	14.83	119.9	105.1	69.5
ucla	UCLA	28	21.21	122.8	101.6	64.9
uconn	Connecticut	10	28.34	122.4	94.0	64.7
umbc	UMBC	187	-1.84	108.9	110.7	66.4
uni	Northern Iowa	76	11.09	109.9	98.8	62.3
utah-st	Utah St.	27	21.59	123.0	101.4	67.7
vanderbilt	Vanderbilt	11	27.33	127.1	99.8	68.7
vcu	VCU	42	17.43	119.1	101.7	68.6
villanova	Villanova	33	19.63	120.5	100.9	65.4
virginia	Virginia	18	25.74	122.8	97.1	65.9
wisconsin	Wisconsin	23	23.07	125.1	102.0	68.9
wright-st	Wright St.	138	2.38	112.6	110.2	67.3
